initials;initials-all;full-name;first-name;last-name;action-object;description;date-of-birth
BC;BC;Bessie Coleman;Bessie;Coleman;;American aviator;1892-01-26
BC;BC;Bob Costas;Bob;Costas;;Sports commentator;1952-03-22
BC;BC;Benjamin Castaldi;Benjamin;Castaldi;;;1970-03-28
BC;BC;Bhumika Chawla;Bhumika;Chawla;;Indian actor;1988-08-21
BC;BC;Brendan Coyle;Brendan;Coyle;;Actor;1963-12-02
BC;BC;Belinda Carlisle;Belinda;Carlisle;;Musician;1958-08-17
BC;BC;Bob Crane;Bob;Crane;;Actor, disc jockey;1928-07-13
BC;BC;Brian Cushing;Brian;Cushing;;American football player, linebacker;1987-01-24
BC;BC;Bernard Cornwell;Bernard;Cornwell;;British writer;1944-02-23
BC;BC;Brian Clough;Brian;Clough;;English footballer and manager;1935-03-21
BC;BC;Brodus Clay;Brodus;Clay;;Professional wrestler;1973-02-21
BD;BD;Bruce Dern;Bruce;Dern;;American actor;1936-06-04
BD;BD;Bob Dylan;Bob;Dylan;;American rock and folk musician;1941-05-24
BD;BD;Bo Dallas;Bo;Dallas;;American professional wrestler;1990-05-25
BD;BD;B Doe;B;Doe;;American rapper;1991-01-01
BD;BD;Bruce Dickinson;Bruce;Dickinson;;English singer;1958-08-07
BD;BD;Bette Davis;Bette;Davis;;American actress of film, television and theater;1908-04-05
BD;BD;Bois Du;Bois;Du;;American sociologist, historian and civil rights activist;1868-02-23
BD;BD;Bryan Danielson;Bryan;Danielson;;Professional wrestler;1981-05-22
BD;BD;Baron Davis;Baron;Davis;;American basketball player;1979-04-13
BD;BD;Bill Deblasio;Bill;Deblasio;;New York politician;1961-05-08
BD;BD;Bergkamp Dennis;Bergkamp;Dennis;;Football (soccer);1969-05-10
BD;BD;Bo Derek;Bo;Derek;;Actress;1956-11-20
BD;BD;Brooklyn Decker;Brooklyn;Decker;;American actress and model;1987-04-12
BD;BD;Bergerac de;Bergerac;de;;French writer;1619-03-06
BD;BD;Bob Denver;Bob;Denver;;Actor;1935-01-09
BD;BD;Backer De;Backer;De;;Musician and singer-songwriter;1980-05-21
BD;BD;Benjamin Disraeli;Benjamin;Disraeli;;British politician;1804-12-12
BD;BD;Brad Dourif;Brad;Dourif;;Character actor;1950-03-18
BD;BD;Brian Doyle-Murray;Brian;Doyle-Murray;;American actor and comedian;1945-10-31
BD;BD;Blythe Danner;Blythe;Danner;;Actor;1943-02-03
BD;BD;Beth Ditto;Beth;Ditto;;American singer-songwriter;1981-02-19
BD;BD;Bobby Darin;Bobby;Darin;;American singer and actir;1936-05-14
BD;BD;Bosque Del;Bosque;Del;;Spanish football manager;1950-12-23
BD;BD;Brian Dennehy;Brian;Dennehy;;Actor;1938-07-09
BD;BD;Brody Dalle;Brody;Dalle;;Australian musician;1979-01-01
BD;BD;Brittany Daniel;Brittany;Daniel;;Actress;1976-03-17
BD;BD;Bobby Deol;Bobby;Deol;;Indian actor;1969-01-27
BD;BD;Baby Dalupan;Baby;Dalupan;;Filipino basketball player;1923-10-19
BD;BD;Bartolomeu Dias;Bartolomeu;Dias;;Portuguese explorer;1450-01-01
BD;BD;Bo Diddley;Bo;Diddley;;Rock and roll guitarist, singer, songwriter;1928-12-30
BE;BE;Bobbi Eden;Bobbi;Eden;;Dutch actor;1980-01-04
BE;BE;Brian Eno;Brian;Eno;;Producer, musician;1948-05-15
BE;BEE;Bret Ellis;Bret;Ellis;;American novelist;1964-03-07
BE;BE;Barbara Eden;Barbara;Eden;;Actor, singer;1931-08-23
BE;BE;Bernie Ecclestone;Bernie;Ecclestone;;President and CEO of Formula One Management;1930-10-28
BE;BE;Bob Eubanks;Bob;Eubanks;;American television/radio personality and game show host;1938-01-08
BE;BE;Brian Epstein;Brian;Epstein;;Talent manager;1934-09-19
BE;BE;Britt Ekland;Britt;Ekland;;Actress;1942-10-06
BE;BE;Blake Edwards;Blake;Edwards;;American film director and producer;1922-07-26
BE;BE;Briana Evigan;Briana;Evigan;;American actor;1986-10-23
BE;BE;Bill Evans;Bill;Evans;;American Jazz Pianist;1929-08-16
BE;BE;Buddy Ebsen;Buddy;Ebsen;;American actor and performer;1908-04-02
BE;BE;Bodhi Elfman;Bodhi;Elfman;;American actor;1969-07-19
BE;BE;Brent Everett;Brent;Everett;;Canadian actor;1984-02-10
BE;BE;Berisha Etrit;Berisha;Etrit;;footballer;1989-03-10
BE;BE;Bill Engvall;Bill;Engvall;;American actor and comedian;1957-07-27
BE;BE;Boomer Esiason;Boomer;Esiason;;American football player;1961-04-17
BE;BE;Beatrice Egli;Beatrice;Egli;;Swiss singer, winner of  Deutschland sucht den Superstar;1988-06-21
BE;BE;Bernard Einstein;Bernard;Einstein;;American activist;1930-07-10
BE;BE;Bernard Edwards;Bernard;Edwards;;American  bass player and record producer;1952-10-31
BE;BE;Brooke Elliott;Brooke;Elliott;;American actor;1974-10-31
BE;BE;Ben Elton;Ben;Elton;;British actor, comedian and director;1959-05-03
BE;BE;Brendan Eich;Brendan;Eich;;American computer programmer;1961-01-01
BE;BE;Bernd Eichinger;Bernd;Eichinger;;German film producer and director;1949-04-11
BE;BE;Barbara Ehrenreich;Barbara;Ehrenreich;;American journalist;1941-08-26
BE;BE;Bart Ehrman;Bart;Ehrman;;American academic;1955-10-05
BE;BE;Bob Ezrin;Bob;Ezrin;;Canadian musician;1959-03-25
BE;BE;Brett Eldredge;Brett;Eldredge;;American singer;1986-03-23
BE;BE;Brando Eaton;Brando;Eaton;;American actor;1986-07-17
BE;BE;Billy Eichner;Billy;Eichner;;American television presenter;1978-09-18
BS;BS;Britney Spears;Britney;Spears;;American musician, singer, songwriter, actress, author;1981-12-02
BS;BS;Basilio San;Basilio;San;;Spanish singer;1950-11-22
BS;BS;Bruce Springsteen;Bruce;Springsteen;;An American singer-songwriter;1949-09-23
BS;BS;Ben Stiller;Ben;Stiller;;Actor, Comedian, Director, Writer;1965-11-30
BS;BS;Barbra Streisand;Barbra;Streisand;;Singer-Songwriter, Actress;1942-04-24
BS;BS;Brooke Shields;Brooke;Shields;;Actress, model;1965-05-31
BS;BS;Bud Spencer;Bud;Spencer;;Actor;1929-10-31
BS;BS;Baruch Spinoza;Baruch;Spinoza;;Dutch philosopher;1632-11-24
BS;BS;Blake Shelton;Blake;Shelton;;American singer;1976-06-18
BS;BS;Brittany Snow;Brittany;Snow;;Actress;1986-03-09
BS;BS;Big Sean;Big;Sean;;American rapper;1988-03-25
BS;BS;Barry Switzer;Barry;Switzer;;American football player and coach;1937-10-05
BS;BS;Bhagat Singh;Bhagat;Singh;;Indian Freedom Activist;1907-09-28
BS;BS;Bob Saget;Bob;Saget;;American television presenter;1956-05-17
BS;BS;Benjamin Siegel;Benjamin;Siegel;;Organized crime;1906-02-28
BS;BS;Boy Soulja;Boy;Soulja;;American rapper;1990-07-28
BS;BS;Bastian Schweinsteiger;Bastian;Schweinsteiger;;German footballer;1984-08-01
BS;BS;Brightman Sarah;Brightman;Sarah;;British soprano, musical theatre actress, dancer;1960-08-14
BS;BS;Bull Sitting;Bull;Sitting;;Hunkpapa Lakota people;
BS;BS;B Skinner;B;Skinner;;American behaviorist, author, inventor, baseball enthusiast, social philosopher and poet;1904-03-20
BS;BS;Bram Stoker;Bram;Stoker;;Irish novelist;1847-11-08
BS;BS;Barbara Stanwyck;Barbara;Stanwyck;;Actress;1907-07-16
BS;BS;Bob Seger;Bob;Seger;;Singer-songwriter;1945-05-06
BS;BS;Ben Savage;Ben;Savage;;American actor;1980-09-13
BS;BS;Bob Sapp;Bob;Sapp;;American professional wrestler;1973-09-22
BS;BS;Bobby Sands;Bobby;Sands;;Irish politician;1954-03-09
BS;BS;Bessie Smith;Bessie;Smith;;American blues singer;1894-04-15
BS;BBVS;Baldur Schirach;Baldur;Schirach;;German Nazi leader;1907-05-09
BS;BS;Bjarne Stroustrup;Bjarne;Stroustrup;;Danish computer scientist;1950-12-30
BS;BS;Beren Saat;Beren;Saat;;Turkish actress;1984-02-26
BG;BG;Bill Gates;Bill;Gates;;American business magnate;1955-10-28
BG;BG;Buddha Gautama;Buddha;Gautama;;Founder of Buddhism;
BG;BG;Bear Grylls;Bear;Grylls;;English mountaineer, adventurer, author, television presenter and motivational speaker.;1974-06-07
BG;BAG;Brian Green;Brian;Green;;Actor;1973-07-15
BG;BG;Berry Gordy;Berry;Gordy;;American record producer;1929-11-28
BG;BG;Blake Griffin;Blake;Griffin;;American basketball player;1989-03-16
BG;BG;Bill Goldberg;Bill;Goldberg;;Professional wrestler; actor; American football player;1966-12-27
BG;BG;Billy Graham;Billy;Graham;;Protestantism;1918-11-07
BG;BG;Barry Gibb;Barry;Gibb;;Songwriter, Producer, Singer;1946-09-01
BG;BG;Brendan Gleeson;Brendan;Gleeson;;Irish actor;1955-03-29
BG;BG;Bob Geldof;Bob;Geldof;;Irish singer;1951-10-05
BG;BG;Beppe Grillo;Beppe;Grillo;;Italian actor and political activist;1948-07-21
BG;BG;Billy Gibbons;Billy;Gibbons;;American musician, actor and car customizer;1949-12-16
BG;BSG;Belle Gunness;Belle;Gunness;;Norwegian-American serial killer;1859-11-11
BG;BAG;Biagio Gazzarra;Biagio;Gazzarra;;American actor;1930-09-28
BG;BG;Brad Garrett;Brad;Garrett;;Actor, comedian, voice actor;1960-04-14
BG;BG;Ben Goldsmith;Ben;Goldsmith;;Financier and environmentalist;1980-10-28
BG;BG;Brantley Gilbert;Brantley;Gilbert;;American country singer;1985-01-20
BG;BG;Billy Gardell;Billy;Gardell;;American actor;1969-08-20
BG;BG;Bruno Ganz;Bruno;Ganz;;Swiss actor;1941-03-22
BG;BG;Benny Goodman;Benny;Goodman;;Jazz clarinetist;1909-05-30
BG;BG;Bruce Greenwood;Bruce;Greenwood;;Actor, musician;1956-08-12
BG;BG;Brandi Glanville;Brandi;Glanville;;TV personality;1972-11-16
BG;BG;Barry Goldwater;Barry;Goldwater;;United States Air Force general and politician;1909-01-01
BG;BG;Ben Gibbard;Ben;Gibbard;;Guitarist, singer;1976-08-11
BG;BG;Bill Gothard;Bill;Gothard;;;1934-11-02
BG;BG;Buddy Guy;Buddy;Guy;;American blues guitarist and singer;1936-07-30
BG;BG;Bryan Greenberg;Bryan;Greenberg;;American actor and musician;1978-05-24
BG;BG;Bobcat Goldthwait;Bobcat;Goldthwait;;Actor, comedian, director, screenwriter;1962-05-26
BG;BG;Betty Grable;Betty;Grable;;dancer, singer, actress;1916-12-18
BH;BH;Barca Hannibal;Barca;Hannibal;;Punic military commander and a politician;
BH;BH;Bill Hicks;Bill;Hicks;;American comedian and social critic;1961-12-16
BH;BH;Billie Holiday;Billie;Holiday;;Jazz singer;1915-04-07
BH;BH;Buddy Holly;Buddy;Holly;;Singer-songwriter, musician;1936-09-07
BH;BH;Bob Hope;Bob;Hope;;English entertainer;1903-05-29
BH;BDH;Bryce Howard;Bryce;Howard;;American actress;1981-03-02
BH;BH;Badr Hari;Badr;Hari;;Dutch martial aritst;1984-12-08
BH;BH;Benny Hill;Benny;Hill;;British comedian;1925-01-21
BH;BH;Bill Hader;Bill;Hader;;American actor,comedian and producer;1978-06-07
BH;BH;Benjamin Harrison;Benjamin;Harrison;;Union (American Civil War);1833-08-20
BH;BH;Barbara Hershey;Barbara;Hershey;;American actress;1948-02-05
BH;BH;Ben Harper;Ben;Harper;;singer-songwriter and musician;1969-10-28
BH;BH;Brian Hallisay;Brian;Hallisay;;American actor;1978-10-31
BH;BH;Bob Hoskins;Bob;Hoskins;;actor;1942-10-26
BH;BH;Brooke Hogan;Brooke;Hogan;;American actor, singer and model;1988-05-05
BH;BH;Bonnie Hunt;Bonnie;Hunt;;Actress, comedienne;1961-09-22
BH;BH;Ben Howard;Ben;Howard;;British singer-songwriter;1988-05-24
BH;BH;Bin Hyun;Bin;Hyun;;Actor;1982-09-25
BH;BH;Benny Hinn;Benny;Hinn;;;1952-12-03
BH;BH;Bernard Hopkins;Bernard;Hopkins;;American boxer;1965-01-15
BH;BH;Benjamin Hornigold;Benjamin;Hornigold;;English pirate;
BH;BH;Blake Harrison;Blake;Harrison;;British actor;1985-07-23
BH;BH;Beth Hart;Beth;Hart;;Musician;1972-01-24
BH;BH;Bikers Hairy;Bikers;Hairy;;;1967-01-01
BH;BKH;Bryan Holland;Bryan;Holland;;Musician;1965-12-29
BH;BH;Benson Henderson;Benson;Henderson;;American martial artist;1983-11-16
BH;BH;Bill Hudson;Bill;Hudson;;Musician, actor;1949-10-17
BH;BH;Bobby Heenan;Bobby;Heenan;;Professional wrestler; professional wrestling commentator;1944-11-01
BH;BH;Bell Hooks;Bell;Hooks;;;1952-09-25
BH;BH;Bernard Hill;Bernard;Hill;;Actor;1944-12-17
BN;BN;B Notorious;B;Notorious;;Rapper;1972-05-21
BN;BN;Brigitte Nielsen;Brigitte;Nielsen;;Danish actor, model and musician;1963-07-15
BN;BN;Bill Nighy;Bill;Nighy;;English actor and comedian;1949-12-12
BN;BN;Benjamin Netanyahu;Benjamin;Netanyahu;;Israeli politician;1949-10-21
BN;BN;Brandy Norwood;Brandy;Norwood;;American entertainer;1979-02-11
BN;BN;Bob Newhart;Bob;Newhart;;American stand-up comedian and actor;1929-09-05
BN;BN;B Novak;B;Novak;;American comedian;1979-07-31
BN;BN;Babu Naveen;Babu;Naveen;;Indian actor;
BN;BN;Bojana Novakovic;Bojana;Novakovic;;Serbian-Australian actress;1981-11-17
BN;BN;Buzolic Nathaniel;Buzolic;Nathaniel;;Australian actor;1983-08-04
BN;BN;Bebe Neuwirth;Bebe;Neuwirth;;Actress;1958-12-31
BN;BFN;Baby Nelson;Baby;Nelson;;;1908-12-06
BN;BN;Becki Newton;Becki;Newton;;actress;1978-07-04
BN;BN;Brad Nowell;Brad;Nowell;;American musician;1965-02-22
BN;BN;Bo Nam;Bo;Nam;;South Korean actress;1989-11-27
BN;BN;Barnett Newman;Barnett;Newman;;American artist;1905-01-29
BN;BN;Britt Nicole;Britt;Nicole;;American singer-songwriter;1984-08-02
BN;BN;Bruce Nauman;Bruce;Nauman;;American artist;1941-12-06
BN;BN;Brooke Nevin;Brooke;Nevin;;Canadian actor;1982-12-22
BN;BN;Bibras Natkho;Bibras;Natkho;;Israeli footballer;1988-02-18
BN;BN;Boys Noize;Boys;Noize;;German musician;1982-01-01
BN;BN;Bull Nakano;Bull;Nakano;;Professional wrestler and golfer;1968-01-08
BN;BESN;Belgrave Ninnis;Belgrave;Ninnis;;;1887-01-22
BN;BN;Bill Nelson;Bill;Nelson;;American politician;1942-09-29
BN;BN;Bujar Nishani;Bujar;Nishani;;;1966-09-29
BN;BN;Birgit Nilsson;Birgit;Nilsson;;Opera singer;1918-05-17
BN;BN;Barry Nelson;Barry;Nelson;;Actor;1917-04-16
BN;BN;Bob Nelson;Bob;Nelson;;American writer;
BN;BN;Brandon Novak;Brandon;Novak;;American skateboarder;1978-12-10
BN;BN;Bill Nunn;Bill;Nunn;;American actor;1953-10-20
CO;CO;Clive Owen;Clive;Owen;;British actor;1964-10-03
CO;CO;Conan O'Brien;Conan;O'Brien;;Television personality;1963-04-18
CO;CO;Chord Overstreet;Chord;Overstreet;;American actor and musician;1989-02-17
CO;CO;Chris Odonnell;Chris;Odonnell;;American actor and model;1970-06-26
CO;CO;Carl Orff;Carl;Orff;;German composer;1895-07-10
CO;CVO;Carl Ossietzky;Carl;Ossietzky;;German journalist, political activist;1889-10-03
CO;CO;Conor Oberst;Conor;Oberst;;American musician;1980-02-15
CO;CO;Claes Oldenburg;Claes;Oldenburg;;American artist;1929-01-28
CO;CO;Chris O'Dowd;Chris;O'Dowd;;Irish actor;1979-10-09
CO;CO;Christina Onassis;Christina;Onassis;;Socialite, shipping magnate;1950-12-11
CO;CPO;Christopher O'Neill;Christopher;O'Neill;;British-American businessperson;1974-06-27
CO;CO;Catherine Oxenberg;Catherine;Oxenberg;;Actress;1961-09-22
CO;CO;Cheri Oteri;Cheri;Oteri;;American actor;1965-09-19
CO;CO;Cameron Ocasio;Cameron;Ocasio;;Actor;1999-09-07
CO;CO;Constantinovna Olga;Constantinovna;Olga;;Queen consort of the Hellenes;1851-09-03
CO;CO;Charles Oakley;Charles;Oakley;;American basketball player-coach;1963-12-18
CO;CO;Carter Oosterhouse;Carter;Oosterhouse;;American television personality;1976-09-19
CO;CO;Colin O'Donoghue;Colin;O'Donoghue;;Irish actor;1981-01-26
CO;CO;Chris Owen;Chris;Owen;;American actor;1980-09-25
CO;CO;Carlito Olivero;Carlito;Olivero;;American singer, actor of Puerto Rican descent;1989-07-16
CO;CO;Cynthia Ozick;Cynthia;Ozick;;American literature;1928-04-17
CO;CO;Catherine OHara;Catherine;OHara;;Actress, comedian;1954-03-04
CO;CO;Chinedu Obasi;Chinedu;Obasi;;Nigerian footballer;1986-06-01
CO;CO;Christian Oliver;Christian;Oliver;;German actor;1972-03-03
CO;CO;C Otter;C;Otter;;American politician;1942-05-03
CO;CO;Craig Olejnik;Craig;Olejnik;;Canadian actor;1979-06-01
CO;CO;Conor Obrian;Conor;Obrian;;professional wrestling;1981-02-06
CO;CO;Clifford Olson;Clifford;Olson;;;1940-01-01
CO;CO;Carroll Oconnor;Carroll;Oconnor;;American actor;1924-08-02
CO;CO;Candice Olson;Candice;Olson;;Canadian interior designer;1964-10-27
CA;CA;Christina Aguilera;Christina;Aguilera;;American singer and songwriter;1980-12-18
CA;CA;Carmelo Anthony;Carmelo;Anthony;;American basketball player;1984-05-29
CA;CA;Cooper Alice;Cooper;Alice;;American singer;1948-02-04
CA;CA;Carlo Ancelotti;Carlo;Ancelotti;;Italian footballer and manager;1959-06-10
CA;CA;Christina Applegate;Christina;Applegate;;American actress;1971-11-25
CA;CA;Casey Affleck;Casey;Affleck;;Actor;1975-08-12
CA;CA;Candice Accola;Candice;Accola;;American actress and singer;1987-10-20
CA;CA;Charles Aznavour;Charles;Aznavour;;singer;1924-05-22
CA;CA;Curtly Ambrose;Curtly;Ambrose;;Cricketer;1963-09-21
CA;CA;Corazon Aquino;Corazon;Aquino;;11th President of the Philippines;1933-01-25
CA;CA;Chris Andersen;Chris;Andersen;;American basketball player;1978-07-07
CA;CAA;Carol Alt;Carol;Alt;;American female model, actress;1960-12-01
CA;CA;Criss Angel;Criss;Angel;;Illusionist;1967-12-19
CA;CAA;Chester Arthur;Chester;Arthur;;American president, lawyer, Union (American Civil War);1829-10-05
CA;CA;Chinua Achebe;Chinua;Achebe;;Nigerian novelist, poet and critic;1930-11-16
CA;CNA;Chimamanda Adichie;Chimamanda;Adichie;;Writer;1977-09-15
CA;CA;Clay Aiken;Clay;Aiken;;Singer-songwriter, actor, record producer;1978-11-30
CA;CA;Clement Attlee;Clement;Attlee;;British politician, Prime Minister of the United Kingdom 1945–51;1883-01-03
CA;CA;Catherine Ashton;Catherine;Ashton;;;1956-03-20
CA;CA;Crispus Attucks;Crispus;Attucks;;African-American, first victim of the Boston Massacre;1723-01-01
CA;CA;Claudio Abbado;Claudio;Abbado;;Conductor;1933-06-26
CA;CA;Christopher Atkins;Christopher;Atkins;;Actor;1961-02-21
CA;CA;Curtis Axel;Curtis;Axel;;American professional wrestler;1979-10-01
CA;CDDA;Carlos Andrade;Carlos;Andrade;;Poet;1902-10-31
CA;CA;Curtis Armstrong;Curtis;Armstrong;;American actor;1953-11-27
CA;CA;Chet Atkins;Chet;Atkins;;American musician;1924-06-20
CA;CA;Carla Abellana;Carla;Abellana;;Film actress, model;1986-06-12
CA;CA;Christa Allen;Christa;Allen;;Actress;1991-11-11
CA;CA;Clara Alonso;Clara;Alonso;;Spanish model;1987-09-21
CA;CA;Charmy akshy;Charmy;akshy;;Indian actor;1987-05-17
CB;CB;Christian Bale;Christian;Bale;;English actor;1974-01-30
CB;CB;Corstius Brandt;Corstius;Brandt;;Dutch computer scientist;1935-08-29
CB;CB;Cate Blanchett;Cate;Blanchett;;Actress;1969-05-14
CB;CB;Caron Butler;Caron;Butler;;American basketball player;1980-03-13
CB;CB;Chris Brown;Chris;Brown;;Singer-songwriter, rapper, dancer, actor;1989-05-05
CB;CB;Chetan Bhagat;Chetan;Bhagat;;Indian writer;1974-04-22
CB;CB;Carter Bonham;Carter;Bonham;;Actress, singer;1966-05-26
CB;CB;Charles Bukowski;Charles;Bukowski;;Novelist, Poet;1920-08-16
CB;CB;Cohen Baron;Cohen;Baron;;English comedian and actor;1971-10-13
CB;CMB;Christopher Benoit;Christopher;Benoit;;Professional wrestler;1967-05-21
CB;CB;Charles Bronson;Charles;Bronson;;American film actor;1921-11-03
CB;CB;Chuck Berry;Chuck;Berry;;American musician;1926-10-18
CB;CB;Charles Baudelaire;Charles;Baudelaire;;French poet;1821-04-09
CB;CB;Camilla Belle;Camilla;Belle;;American actress;1986-10-02
CB;CB;Charles Barkley;Charles;Barkley;;Basketball player;1963-02-20
CB;CB;Charles Babbage;Charles;Babbage;;English mathematician;1791-12-26
CB;CB;Chancellor Bennett;Chancellor;Bennett;;American recording artist;1993-04-16
CB;CB;Cesare Borgia;Cesare;Borgia;;Duke of Urbino and Catholic cardinal;1475-09-13
CB;CB;Carrie Brownstein;Carrie;Brownstein;;Guitarist, comic actress, writer;1974-09-27
CB;CB;Chester Bennington;Chester;Bennington;;American singer and actor;1976-03-20
CB;CCB;Candace Bure;Candace;Bure;;Actress, producer;1976-04-06
CB;CB;Christie Brinkley;Christie;Brinkley;;Supermodel;1954-02-02
CB;CB;Charles Bronson;Charles;Bronson;;Prisoner;1952-12-06
CB;CB;Chuck Barris;Chuck;Barris;;American game show host;1929-06-03
CB;CB;Connie Britton;Connie;Britton;;American actor;1967-03-06
CB;CB;Clara Bow;Clara;Bow;;Actress;
CB;CB;Cameron Boyce;Cameron;Boyce;;Actor;1999-05-28
CB;CB;Chris Bosh;Chris;Bosh;;American basketball player;1984-03-24
CB;CB;Cliff Burton;Cliff;Burton;;Musician, Songwriter;1962-02-10
CB;CB;Clancy Brown;Clancy;Brown;;American actor;1959-01-05
CC;CC;Charlie Chaplin;Charlie;Chaplin;;English actor and director;1889-04-16
CC;CC;Christopher Columbus;Christopher;Columbus;;navigator and an admiral for the Crown of Castile;
CC;CC;Courteney Cox;Courteney;Cox;;American actor;1959-06-15
CC;CC;Coco Chanel;Coco;Chanel;;French fashion designer;1883-08-19
CC;CC;Cindy Crawford;Cindy;Crawford;;American fashion model;1966-02-20
CC;CC;Chevy Chase;Chevy;Chase;;American comedian, writer, and television and film actor;1942-09-10
CC;CC;Calvin Coolidge;Calvin;Coolidge;;30th U.S. President;1872-07-04
CC;CC;Claudia Cardinale;Claudia;Cardinale;;Italian actress;1939-04-15
CC;CC;Cheryl Cole;Cheryl;Cole;;English singer & television personality;1983-06-30
CC;CC;Chace Crawford;Chace;Crawford;;American actor;
CC;CC;Chris Colfer;Chris;Colfer;;Actor, singer;1990-05-27
CC;CEC;C� Chávez;C�;Chávez;;farm worker, labor leader, and activist;1927-03-31
CC;CC;Chris Cornell;Chris;Cornell;;Singer-songwriter, Musician;1964-07-20
CC;CC;Chelsea Clinton;Chelsea;Clinton;;Consultant;1980-02-27
CC;CC;Cassandra Clare;Cassandra;Clare;;American author;1973-07-31
CC;CC;Christopher Christie;Christopher;Christie;;55th Governor of New Jersey, former U.S. Attorney for the District of New Jersey;1962-09-06
CC;CC;Charisma Carpenter;Charisma;Carpenter;;Actor;1970-07-23
CC;CC;Celia Cruz;Celia;Cruz;;Cuban-American singer and entertainer;1925-10-21
CC;CC;Chick Corea;Chick;Corea;;American musician;1941-06-12
CC;CC;Carmen Carrera;Carmen;Carrera;;Transwoman;1985-04-13
CC;CC;Carlos Castañeda;Carlos;Castañeda;;Latin American writer;1931-12-25
CC;CC;Chiru Chiranjeevi;Chiru;Chiranjeevi;;Indian actor;
CC;CC;Camilla Cornwall;Camilla;Cornwall;;Second wife of Charles, Prince of Wales;1947-07-17
CC;CC;Clive Cussler;Clive;Cussler;;Novelist;1931-07-15
CC;CC;Chris Cooper;Chris;Cooper;;Actor;1951-07-09
CC;CVC;Carl Clausewitz;Carl;Clausewitz;;German general;1780-06-01
CC;CC;Charlotte Church;Charlotte;Church;;Welsh singer;1986-02-21
CC;CC;Carlos Condit;Carlos;Condit;;American martial artist;1984-04-26
CC;CC;Charles Capps;Charles;Capps;;;1934-01-01
CC;CC;Colbie Caillat;Colbie;Caillat;;American singer-songwriter and guitarist;1989-05-28
CD;CRD;Charles Darwin;Charles;Darwin;;natural history;1809-02-12
CD;CD;Charlotte Dawson;Charlotte;Dawson;;New Zealand–Australian television personality;1966-04-08
CD;CD;Cara Delevingne;Cara;Delevingne;;British female model;1992-08-22
CD;CMD;Cameron Diaz;Cameron;Diaz;;fashion model (1988–1993), actress (1993–present);1972-08-30
CD;CD;Charles Dickens;Charles;Dickens;;English novelist;1812-02-07
CD;CD;Claire Danes;Claire;Danes;;American actress;1979-04-12
CD;CD;C� Dion;C�;Dion;;Canadian singer and actor;1968-03-30
CD;CD;Claude Debussy;Claude;Debussy;;Composer;1862-08-22
CD;CD;Catherine Deneuve;Catherine;Deneuve;;actor;1943-10-22
CD;CD;Charles Dance;Charles;Dance;;British actor and director;1946-10-10
CD;CD;Charlie Day;Charlie;Day;;American actor;1976-02-09
CD;CD;Caunes de;Caunes;de;;Film director and actor;1953-12-01
CD;CD;Christian Dior;Christian;Dior;;French fashion designer;1905-01-21
CD;CRD;Charles Drew;Charles;Drew;;American physician;1904-06-03
CD;CED;Charles Durning;Charles;Durning;;American actor;1923-02-28
CD;CD;Carson Daly;Carson;Daly;;American broadcaster;1973-06-22
CD;CD;Craig David;Craig;David;;English singer;1981-05-05
CD;CD;Christophe Dechavanne;Christophe;Dechavanne;;;1958-01-01
CD;CD;Clint Dempsey;Clint;Dempsey;;Soccer player;1983-03-09
CD;CD;Cecil DeMille;Cecil;DeMille;;Film director;1881-08-12
CD;CMD;Charles Davis;Charles;Davis;;American actor and model;
CD;CD;Chris Diamantopoulos;Chris;Diamantopoulos;;Canadian actor;1975-05-09
CD;CD;Candy Davis;Candy;Davis;;British actor;1962-01-02
CD;CD;Clea DuVall;Clea;DuVall;;actor;1977-09-25
CD;CD;Colin Donnell;Colin;Donnell;;Actor;1982-10-09
CD;CD;Canio Di;Canio;Di;;Italian footballer;1968-07-09
CD;CD;Carlo De;Carlo;De;;Actress;1922-09-01
CD;CD;Cody Diablo;Cody;Diablo;;Screenwriter and author;1978-06-14
CD;CD;Chris Daughtry;Chris;Daughtry;;American musician;1979-12-26
CD;CD;Clyde Drexler;Clyde;Drexler;;American professional basketball player;1962-06-22
CE;CE;Clint Eastwood;Clint;Eastwood;;Actor, director, film producer, composer, politician;1930-05-31
CE;CE;Chiwetel Ejiofor;Chiwetel;Ejiofor;;Actor;1977-07-10
CE;CE;Chris Evans;Chris;Evans;;American actor;1981-06-13
CE;CE;Carmen Electra;Carmen;Electra;;Model, actress;1972-04-20
CE;CE;Christopher Eccleston;Christopher;Eccleston;;English actor;1964-02-16
CE;CE;Claes Eriksson;Claes;Eriksson;;Swedish actor,comedian and composer;1950-07-27
CE;CLE;Colin Emm;Colin;Emm;;Actor, television personality, game show host;1932-11-20
CE;CE;Christian Eriksen;Christian;Eriksen;;Danish footballer;1992-02-14
CE;CE;Cary Elwes;Cary;Elwes;;Actor, director;1962-10-26
CE;CE;Caner Erkin;Caner;Erkin;;Turkish footballer;1988-10-04
CE;CE;Cass Elliot;Cass;Elliot;;United States;1941-09-19
CE;CE;Chris Evans;Chris;Evans;;British DJ and TV presenter;1966-04-01
CE;CE;Chris Elliott;Chris;Elliott;;American actor, writer and comedian;1960-05-31
CE;CE;Caro Emerald;Caro;Emerald;;Dutch jazz singer;1981-04-26
CE;CE;Chris Evert;Chris;Evert;;Professional Tennis Player;1954-12-21
CE;CE;Christine Ebersole;Christine;Ebersole;;American actress;1953-02-21
